image_file,word,card_id,original_image,position,word_file,row,col
1_1.png,Articulate,2caa0b2a-dad1-4cc7-ad56-02982280cd86,1.png,1,1.txt,1,1
1_2.png,Coherent,659726be-8658-43cc-9630-c124d6c5984e,1.png,2,1.txt,1,2
1_3.png,Candid,88862819-3d7e-4c7b-ae7e-ba92a2a53a20,1.png,3,1.txt,1,3
1_4.png,Frank,6677655b-26cb-4be8-bc85-9347496b811a,1.png,4,1.txt,1,4
1_5.png,Logical,a53a36d8-a7f1-476d-8705-6637ad1edfb0,1.png,5,1.txt,1,5
1_6.png,Rational,3650141b-f0ed-469b-8946-a5c70d5f9d0a,1.png,6,1.txt,1,6
1_7.png,Lucid,8b918ea2-ed60-4aa2-bfdb-16983d279782,1.png,7,1.txt,1,7
1_8.png,Subjective,0a8d967e-fe1d-41aa-9f6f-4f4aeb4f65db,1.png,8,1.txt,1,8
1_9.png,Objective,c2b3efa1-c722-47a1-a80b-d6988b71e403,1.png,9,1.txt,2,1
1_10.png,Ambiguous,d3ecd33d-390c-4d74-adf5-ea78d2fa593d,1.png,10,1.txt,2,2
1_11.png,Fallacious,4c3bda1e-a0ea-4b86-abb4-1e2d67db9380,1.png,11,1.txt,2,3
1_12.png,Vague,1381858e-ef01-4860-9d52-e3f64b1b774a,1.png,12,1.txt,2,4
1_13.png,Incoherent,6a00292e-7355-427c-9a5b-89c8840e4618,1.png,13,1.txt,2,5
1_14.png,Irrational,58b1d28d-e542-4846-b2f7-e8d1b4fd8f0b,1.png,14,1.txt,2,6
1_15.png,Valid,3be5c7a3-7f9b-46a0-a882-26f1ce6e59f5,1.png,15,1.txt,2,7
1_16.png,Sound,fb784c1f-7215-4efd-8366-3238ee9837ae,1.png,16,1.txt,2,8
1_17.png,Explicit,140d2d35-524f-4c50-b935-a5b356230427,1.png,17,1.txt,3,1
1_18.png,Implicit,7c47d358-4e11-4ca5-bc4d-a94bfbbe2427,1.png,18,1.txt,3,2
1_19.png,Subtle,54ee95b1-0324-4690-b107-4965cecffb3c,1.png,19,1.txt,3,3
1_20.png,Nuanced,6c6f65b3-ee6e-45b7-a248-1cf92c7b46b1,1.png,20,1.txt,3,4
1_21.png,Relevant,c677161d-cb1a-45b1-ada8-9f7ddbf518d2,1.png,21,1.txt,3,5
1_22.png,Incidental,774ccb9f-85d1-4ba6-8125-4d47d496b317,1.png,22,1.txt,3,6
1_23.png,Irrelevant,7ef99542-04ec-4647-857f-7f6897014d89,1.png,23,1.txt,3,7
1_24.png,Precise,807740b8-9754-4717-b6b8-6ed901720d8d,1.png,24,1.txt,3,8
1_25.png,Accurate,3a7ec700-e283-4667-9da7-711665eaa3ec,1.png,25,1.txt,4,1
1_26.png,Misleading,b23693d5-e849-4d47-b276-48d42815860a,1.png,26,1.txt,4,2
1_27.png,Deceptive,e0b38585-3890-41ad-9954-280344b8538c,1.png,27,1.txt,4,3
1_28.png,Direct,40c90d87-f063-4016-84b9-da12d770aae5,1.png,28,1.txt,4,4
1_29.png,Indirect,a0c8fa31-7f3f-4369-b1ab-531ae32188d1,1.png,29,1.txt,4,5
1_30.png,Obscure,d473628b-66d8-4be3-b8c3-0887c446c0d0,1.png,30,1.txt,4,6
1_31.png,Clear-cut,c7a7dad8-8c9a-446b-a670-cad6ddf34c12,1.png,31,1.txt,4,7
1_32.png,Eloquent,1808e718-7b44-48cf-96d2-b5932f787f6d,1.png,32,1.txt,4,8
1_33.png,Resonant,acb34d17-bf6a-4b54-9bd3-aff07b085800,1.png,33,1.txt,5,1
1_34.png,Spontaneous,f6abbc8b-0bfa-4dcc-9e90-6c7382381dce,1.png,34,1.txt,5,2
1_35.png,Improvised,439dbf22-137c-4e6e-9ca8-c96f6f683d84,1.png,35,1.txt,5,3
1_36.png,Stutter,ac39e85d-970f-46ca-9373-7207364dc8e1,1.png,36,1.txt,5,4
1_37.png,Stammer,99b087c0-374f-4f6d-a17b-d00051ae3fd1,1.png,37,1.txt,5,5
1_38.png,Mumble,a2ae70b9-1579-4543-b114-b8ce72f77af2,1.png,38,1.txt,5,6
1_39.png,Rambling,0dd1c4ac-a43e-4106-ad10-67a646dca7d1,1.png,39,1.txt,5,7
1_40.png,Slur,e8e3a97d-3e9f-4689-b25a-cf5efd3e26c6,1.png,40,1.txt,5,8
1_41.png,Deliberate,50756213-16f5-4c39-82ea-97d2435b79c6,1.png,41,1.txt,6,1
1_42.png,Fluent,b1e4c2d4-b2c4-41f7-b0d3-c64821e24c58,1.png,42,1.txt,6,2
1_43.png,Monotone,b4e67c19-625c-4cc1-bce6-17baca465f2f,1.png,43,1.txt,6,3
1_44.png,Expressive,0d58c2eb-27a8-4cde-9a6f-1cd25ddf3698,1.png,44,1.txt,6,4
1_45.png,Dynamic,7ad76e77-a136-4d4a-bd78-e94255f641c9,1.png,45,1.txt,6,5
1_46.png,Animated,22576211-ddd4-474d-b1ca-dbc7b66c9e23,1.png,46,1.txt,6,6
1_47.png,Audible,ab975b6f-64ab-4556-8b23-9da2b7910c1e,1.png,47,1.txt,6,7
1_48.png,Inaudible,5acdd0b2-1e30-4430-a1c0-a7abf2fc0b0a,1.png,48,1.txt,6,8
1_49.png,Shrill,c7d3398e-c4ed-4bf7-b2b8-bd1f99aa0a58,1.png,49,1.txt,7,1
1_50.png,Husky,6f42b7b0-b8d8-4f81-840f-f5703e4f3f9b,1.png,50,1.txt,7,2
1_51.png,Soft-spoken,554610f0-b9e2-4638-929a-573f6bd8474c,1.png,51,1.txt,7,3
1_52.png,Outspoken,01e7b563-927c-4c1b-9c20-8bcca665526b,1.png,52,1.txt,7,4
1_53.png,Vocal,d96ceccd-41ac-472f-9c92-72851e0be572,1.png,53,1.txt,7,5
1_54.png,Silver-tongued,945f4f8c-ee8d-4785-80bd-7fe6ba625034,1.png,54,1.txt,7,6
1_55.png,Tongue-tied,47ba30ed-66be-4f5c-b2f8-d2ab715cee8e,1.png,55,1.txt,7,7
1_56.png,Hesitant,1e8c60e1-0cbf-4f06-a25c-655c30171201,1.png,56,1.txt,7,8
1_57.png,Pausing,d499e3b4-14fd-46b3-8c3d-9006d83eb49d,1.png,57,1.txt,8,1
